Name,Address,City,Zip Code,Phone,Contact Name,Email,Website,Business Type,Address,City,Zip Code,Phone,Email,Business Type,Categories
Classics by Steve,,,,,,,,,3906 Adeline St.,Emeryville,94608,(510) 655-6464,"<theinfo@classicsbysteve.com>,",Small Business,Construction & Repair
Community Resource Initiative - Law Office,83C Wiese St.,San Francisco,94103,(415) 824-1424,,abigailvorce@gmail.com,www.cr-i.org/,Non Profit,,,,,,,
Community Resource Initiative - Law Office,,,,,,,,,83C Wiese St.,San Francisco,94103,(415) 824-1424,abigailvorce@gmail.com,Non Profit,Legal Services
CREAM Ice Cream Shop,2399 Telegraph Ave.,Berkeley,94704,(510) 593-5627,,jimmy@creamnation.com,www.creamnation.com/,Small Business,,,,,,,
CREAM Ice Cream Shop,,,,,,,,,2399 Telegraph Ave,Berkeley,(510) 593-5627,(510) 593-5627,jimmy@creamnation.com,Small Business,Food Services
CRECE-Central American Refugee Assistance,4848 International Blvd.,Oakland,94601,(510) 533-8140,,creceoakland@sbcglobal.net,creceeastbay.wordpress.com/,Non Profit,,,,,,,
CRECE-Central American Refugee Assistance,,,,,,,,,4848 International Blvd.,Oakland,94601,(510) 533-8140,creceoakland@sbcglobal.net,Non Profit,Policy & Advocacy
Cruz Skate Shop,3165 Mission St. #101,San Francisco,94110,(415) 285-8833,,info@cruzskateshop.com,cruzskateshop.com/,Small Business,,,,,,,
Cruz Skate Shop,,,,,,,,,3165 Mission St. #101,San Francisco,94110,(415) 285-8833,info@cruzskateshop.com,Small Business,Fitness & Athletics
DLXSF Skateboard Shop,1831 Market St.,San Francisco,94103,(415) 203-0439,,,,Small Business,,,,,,,
DLXSF Skateboard Shop,,,,,,,,,1831 Market St,San Francisco,94103,(415) 203-0439,,Small Business,Fitness & Athletics
East Bay Bike Coalition,3301 E 12th St.# 143,San Francisco,94601,(510) 845-7433,,,,Non Profit,,,,,,,
East Bay Bike Coalition,,,,,,,,,3301 E 12th St.# 143,San Francisco,94601,(510) 845-7433,,Non Profit,Fitness & Athletics
Edward Jones Investments,370 Highland Ave #201,Piedmont,94611,(510) 547-4589,,jerry.ostrander@edwardjones.com,,Small Business,,,,,,,
Edward Jones Investments,,,,,,jerry.ostrander@edwardjones.com,,,370 Highland Ave #201,Piedmont,94611,(510) 547-4589,jerry.ostrander@edwardjones.com,Small Business,Public Services
El Taco Zamorrano,4032 Foothill Blvd.,Oakland,94601,(510) 536-3146,,,n/a,Small Business,,,,,,,
El Taco Zamorrano,,,,,,,,,4032 Foothill Blvd.,Oakland,,(510) 536-3146,,Small Business,Food Services
Evarize Fashion Cafe,2634 San Pablo Ave.,Berkeley,94702,(510) 845-0376,,erica@evarize.com,www.evarize.com/,Small Business,,,,,,,
Evarize Fashion Cafe,,,,,,,,,2634 San Pablo Ave.,Berkeley,94702,(510) 845-0376,erica@evarize.com,Small Business,Fashion & Design
Flora Restaurant,1900 Telegraph Ave.,Oakland,94612,"(510) 499-7279, (510) 387-8523",,"donasavipsky@yahoo.com, donasavitsky@yahoo.com, riverarico@hotmail.com",www.floraoakland.com/,Small Business,,,,,,,
Flora Restaurant,,,,,,,,,1900 Telegraph Ave.,Oakland,,"(510) 499-7279, (510) 387-8523","donasavipsky@yahoo.com, donasavitsky@yahoo.com, riverarico@hotmail.com",Small Business,Food Services
Freedom Archives,522 Valencia St.,San Francisco,94110,(415) 863-9977,,claude@freedomarchives.org,http://www.freedomarchives.org/index.html,Non Profit,,,,,,,
Freedom Archives,,,,,,,,,522 Valencia St.,San Francisco,94110,(415) 863-9977,claude@freedomarchives.org,Non Profit,Policy & Advocacy
Future Star Baseball,12000 Campus Drive,Oakland,94619,(510) 710-0987,,benmangan@futurestarbaseball.com,,For Profit,,,,,,,
Future Star Baseball,,,,,,,,,12000 Campus Drive,Oakland,94619,(510) 710-0987,benmangan@futurestarbaseball.com,For Profit,Fitness & Athletics
Gay Straight Alliance Network,1550 Bryant St. #800,San Francisco,94103,(415) 552-4229,,geoffrey@gsanetworks.org,gsanetwork.org/,Non Profit,,,,,,,
Gay Straight Alliance Network,,,,,,,,,1550 Bryant St. #800,San Francisco,94103,(415) 552-4229,geoffrey@gsanetworks.org,Non Profit,Policy & Advocacy
Glenn Lym Architecture,60 Rausch St. #103,San Francisco,94103,(415) 621-2086,,lym@lymarch.com,www.lymarch.com/,Small Business,,,,,,,
Glenn Lym Architecture,,,,,,,,,60 Rausch St. #103,San Francisco,94103,(415) 621-2086,lym@lymarch.com,Small Business,Art & Design
Glide Memorial Church,330 Ellis St.,San Francisco,94102,(415) 674-6081,,sbrady@glide.org,glide.org,Non Profit,,,,,,,
Glide Memorial Church,,,,,,,glide.org,,330 Ellis St.,San Francisco,94102,(415) 674-6081,sbrady@glide.org,Non Profit,Public Services 
Global Exchange,2840 College Ave.,Berkeley,94110,(415) 255-7296,,,globalexchange.org ,Non Profit,,,,,,,
Global Exchange,,,,,,,,,2840 College Ave.,Berkeley,94110,(415) 255-7296,,Non Profit,Policy & Advocacy
GO Public Schools,472 Water St.,Oakland,94607,(510) 868-8800,,jessica@gopublicschools.org,www.gopublicschools.org/,Non Profit,,,,,,,
GO Public Schools,,,,,,,,,472 Water St.,Oakland,94607,(510) 868-8800,jessica@gopublicschools.org,Non Profit,Education
Grand Ave Flowers,3214 Grand Ave.,Oakland,94610,(510) 839-7673,,lydia_wallenburg@yahoo.com,www.grandaveflorist.com/,Small Business,,,,,,,
Grand Ave Flowers,,,,,,,,,3214 Grand Ave.,Oakland,94610,(510) 839-7673,lydia_wallenburg@yahoo.com,Small Business,Science & Environment 
Health Through Art,2288 Fulton St. #103,Berkeley,94704,(510) 549-5990,,adriana@yourcreativelifecoach.com,hhrec.org › HTA,Non Profit,,,,,,,
Health Through Art,,,,,,,,,2288 Fulton St. #103,Berkeley,94704,(510) 549-5990,adriana@yourcreativelifecoach.com,Non Profit,Health & Medical
Hill & Co. Public Relations,"1050 Marina Village Parkway, Suite #105",Alameda,94501,(510) 521-2200 ,,twebb@hillpr.com,,Small Business,,,,,,,
Hill & Co. Public Relations,,,,,,,,,"1050 Marina Village Parkway, Suite #105",Alameda,94501,(510) 521-2200 ,twebb@hillpr.com,Small Business,News Media
HKIT Architects,538 9th St. #240,Oakland,94605,(510) 625-9800,,"jevans@hkit.com, jshirriff@hkit.com, Dyoungdale@hkit.com",www.hkit.com/,Small Business,,,,,,,
HKIT Architects,,,,,,,,,538 9th St. #240,Oakland,94605,(510) 625-9800,"jevans@hkit.com, jshirriff@hkit.com, Dyoungdale@hkit.com",Small Business,Art & Design
La Casa Latina,1805 San Pablo Ave.,Berkeley,94702,(510) 558-7177,,,lacasalatinany.com/,Small Business,,,,,,,
La Casa Latina,,,,,,,,,1805 San Pablo Ave.,Berkeley,94702,(510) 558-7177,,Small Business,Food Services
La Estrellita,446 E. 12th St.,Oakland,94606,(510) 465-7188,,,n/a,Small Business,,,,,,,
La Estrellita,,,,,,,,,446 E. 12th St.,Oakland,94606,(510) 465-7188,,Small Business,Food Services
Makani Power,2175 Monarch St.,Alameda,94501,(510) 629-4316,,rob@makanipower.com,http://www.makanipower.com/,Small Business,,,,,,,
Makani Power,,,,,,,,,2175 Monarch St.,Alameda,94501,(510) 629-4316,rob@makanipower.com,Small Business,Science & Environment 
Mike's Feed & Pets,710 East 14th St.,San Leandro,94577,(510) 638-2005 ,,gerardo.1984@yahoo.com,n/a,Small Business,,,,,,,
Mike's Feed & Pets,,,,,,,,,710 East 14th St.,San Leandro,94577,(510) 638-2005 ,gerardo.1984@yahoo.com,Small Business,Animals 
Mission Graffica - Screen Printing,2868 Mission St.,San Fransisco,94110,(415) 821-1155,,grafica@missionculturalcenter.org,missionculturalcenter.org,Small Business,,,,,,,
Mission Graffica - Screen Printing,,,,,,,,,2868 Mission St.,San Fransisco,94110,(415) 821-1155,grafica@missionculturalcenter.org,Small Business,Art & Design
Mission Pie,2901 Mission St.,San Francisco,94110,(415) 282.1500,,eatpie@missionpie.com,missionpie.com/,Non Profit,,,,,,,
Mission Pie,,,,,,,,,2901 Mission St.,San Francisco,94110,(415) 282.1500,eatpie@missionpie.com,Non Profit,Food Services
ModCom Mixed Martial Arts,1450 San Pablo Ave.,Berkeley,94702,(510) 540-8283,,moderncombatives@hotmail.com,www.moderncombatives.com/,Small Business,,,,,,,
ModCom Mixed Martial Arts,,,,,,,,,1450 San Pablo Ave.,Berkeley,94702,(510) 540-8283,moderncombatives@hotmail.com,Small Business,Fitness & Atheletics
Nappy or Not Hair Salon,411 E. 18th St. #F,Oakland,94606,(510) 835-7838,,nappyornotinfo@gmail.com,www.nappyornotsalon.com/,Small Business,,,,,,,
Nappy or Not Hair Salon,,,,,,,,,411 E. 18th St. #F,Oakland,94606,(510) 835-7838,nappyornotinfo@gmail.com,Small Business,Fashion & Beauty
Natural Resources,1367 Valencia St.,San Francisco,94119,(415) 550-2611,,,,Non Profit,,,,,,,
Natural Resources,,,,,,,,,1367 Valencia St.,San Francisco,94119,(415) 550-2611,,Non Profit,Science & Environment
Nii Architects,1080 23rd Ave. #105,Oakland,94606,(510) 533-7270,,,niiarchitects.com ,Small Business,,,,,,,
Nii Architects,,,,,,,,,1080 23rd Ave. #105,Oakland,94606,(510) 533-7270,,Small Business,Art & Design
Noble Veterinarian,36 Barnes Ct.,Hayward,94544,(510) 537-3292,,kmiovas@yahoo.com,www.noblevet.com/,Small Business,,,,,,,
Noble Veterinarian,,,,,,,,,36 Barnes Ct.,Hayward,94544,(510) 537-3292,kmiovas@yahoo.com,Small Business,Animals 
Oakland City Council District 4,"1 Frank H. Ogawa Plaza, 2nd Floor",Oakland,94612,(510) 238-7004,,snosakhare@oakland.net,,Government,,,,,,,
Oakland City Council District 4,,,,,,,,,"1 Frank H. Ogawa Plaza, 2nd Floor",Oakland,94612,(510) 238-7004,snosakhare@oakland.net,Government,Policy & Advocacy
Oakland Community Organizations,7200 Bancroft Ave.,Oakland,94605,(510) 672-2136,,karla@oaklandcommunity.org,www.oaklandcommunity.org/,Non Profit,,,,,,,
Oakland Community Organizations,,,,,,,,,7200 Bancroft Ave.,Oakland,94605,(510) 672-2136,karla@oaklandcommunity.org,Non Profit,Education
Oakland Fire Department,150 Frank H. Ogawa Plaza,Oakland,94612,(510) 238-4051,,jwilliams@oaklandnet.com,,Government,,,,,,,
Oakland Fire Department,,,,,,,,,150 Frank H. Ogawa Plaza,Oakland,94612,(510) 238-4051,jwilliams@oaklandnet.com,Government,Public Services
Oakland Parks & Rec.,"250 Frank H. Ogawa Plaza, Suite 3330",Oakland,94612,(510) 238-2389,,mak.oliver.hall@gmail.com,,Government,,,,,,,
Oakland Parks & Rec.,,,,,,,,,"250 Frank H. Ogawa Plaza, Suite 3330",Oakland,94612,(510) 238-2389,mak.oliver.hall@gmail.com,Government,Public Services
Oakland Police Department,250 Frank H. Ogawa Plaza,Oakland,94607,"Ms. Oliver: 615-5758, FS: (510) 238-3288",,fsilva@oaklandnet.orf,,Government,,,,,,,
Oakland Police Department,,,,,,,,,250 Frank H. Ogawa Plaza,Oakland,94607,"Ms. Oliver: 615-5758, FS: (510) 238-3288",fsilva@oaklandnet.orf,Government,Public Services
Oakland Public library,125 14th St.,Oakland,94612,(510) 238-7332,,bboises@oaklandlibrary.org,,Government,,,,,,,
Oakland Public library,,,,,,,,,125 14th St.,Oakland,94612,(510) 238-7332,bboises@oaklandlibrary.org,Government,Public Services
Oakland Public Works,250 Frank H. Ogawa Plaza,Oakland,94612,(510) 238-3661,,jpetrovic@oaklandnet.com,www2.oaklandnet.com/Government/o/PWA/index.htm,Government,,,,,,,
Oakland Public Works,,,,,,,,,250 Frank H. Ogawa Plaza,Oakland,,(510) 238-3661,,Government,Construction & Repair
Oakland Public Works Agency - Parts Department,1 Frank H. Ogawa Plaza,Oakland,94612,(510) 444-2489,,arodrigues@oaklandnet.com,www2.oaklandnet.com ,Government,,,,,,,
Oakland Public Works Agency - Parts Department,,,,,,,,,1 Frank H. Ogawa Plaza,Oakland,94612,(510) 444-2489,arodrigues@oaklandnet.com,Government,Construction & Repair
Oakland Zoo,9777 Golf Links Rd.,Oakland,94605,(510) 632-9525  x169,,elizabeth@oaklandzoo.org,www.oaklandzoo.org,Nonprofit,,,,,,,
Oakland Zoo,,,,,,,,,9777 Golf Links Rd.,Oakland,94605,(510) 632-9525  x169,,Nonprofit,Animals
ODC Dance Center,351 Shotwell St.,San Francisco,94110,(415) 863-6606 x106,,annie@odcdance.org,,Non Profit,,,,,,,
ODC Dance Center,,,,,,,,,351 Shotwell St.,San Francisco,94110,(415) 863-6606 x106,annie@odcdance.org,Non Profit,Performing Arts
Over 60 Health Center/ Lifelong Medical Care,1860 Alcatraz Ave.,"Berkeley, CA",94702,(510) 601-6060,,aobrien@lifelongmedical.org,ifelongmedical.org,Non Profit,,,,,,,
Over 60 Health Center/ Lifelong Medical Care,,,,,,,,,1860 Alcatraz Ave. ,"Berkeley, CA",94702,(510) 601-6060,aobrien@lifelongmedical.org,Non Profit,Health & Medical
Pacific Center,2712 Telegraph Ave.,Berkeley,94704,(510) 548-8283,,mwilson@pacificcenter.org,pacificcenter.org,Non Profit,,,,,,,
Pacific Center,,,,,,,,,2712 Telegraph Ave.,Berkeley,94704,(510) 548-8283,mwilson@pacificcenter.org,Non Profit,Policy & Advocacy
People for the Ethical Treatment of Animals,248 Grand Av.,Oakland,94606,(510) 763-7382 x26,,kristiep@peta.org, http://www.peta.org,Nonprofit,,,,,,,
People for the Ethical Treatment of Animals,,,,,,,,,248 Grand Ave.,Oakland,94606,(510) 763-7382 x26,kristiep@peta.org,Nonprofit,Animals 
Polk Street Gym,1436 Polk St,San Francisco,94109,(415) 440-8269,,polkstreetgym@gmail.com,www.polkstreetboxinggym.com/,Small Business,,,,,,,
Polk Street Gym,,,,,,,,,1436 Polk St.,San Francisco,94109,(415) 440-8269,polkstreetgym@gmail.com,Small Business,Fitness & Athletics
Pro Arts Gallery,150 Frank H Ogawa Plaza ,Oakland,94612,(510) 763-4361,,,www.proartsgallery.org/,Nonprofit,,,,,,,
Pro Arts Gallery,,,,,,,www.proartsgallery.org/,,150 Frank H. Ogawa Plaza ,Oakland,94612,(510) 763-4361,,Nonprofit,Art & Design
Rising Sun Energy,1900 Addison St.,Berkeley,94702,(510) 665-1501,,arhamsadr@risingsunenergy.org,,Non Profit,,,,,,,
Rising Sun Energy,,,,,,,,,1900 Addison St.,Berkeley,94702,(510) 665-1501,arhamsadr@risingsunenergy.org,Non Profit,Science & Environment
Segway of Oakland,212 International Blvd.,Oakland,94606,(510) 832-2429,,darren@segwayofoakland.com,www.segwayofoakland.com/,Big Business,,,,,,,
Segway of Oakland,,,,,,,,,212 International Blvd.,Oakland,94606,(510) 832-2429,darren@segwayofoakland.com,Big Business,Technology
SIN-MEX,4028 International Blvd.,Oakland,94601,(510) 434-1993,,sinmexautobody@yahoo.com,sinmexab.com/,Small Business,,,,,,,
SIN-MEX,,,,,,,,,4028 International Blvd.,Oakland,94601,(510) 434-1993,sinmexautobody@yahoo.com,Small Business,Construction & Repair
Spoiled Boutique,2001 Broadway,Oakland,94612,(510) 268-9700,,,n/a,Small Business,,,,,,,
Spoiled Boutique,,,,,,,,,2001 Broadway,Oakland,94612,(510) 268-9700,,Small Business,Fashin & Design
Street Level Health,2501 International Blvd.,Oakland,94601,(510) 533-9906,,"galicia@streetlevelhealth.org, kimbarstow@streetlevelhealth.com",streetlevelhealth.org/,Non Profit,,,,,,,
Street Level Health,,,,,,,,,2501 International Blvd.,Oakland,94601,(510) 533-9906,"galicia@streetlevelhealth.org, kimbarstow@streetlevelhealth.com",Non Profit,Health & Medical
Street Styles / Rock Paper Scissors Collective,"2278 Telegraph Ave., Suite 100",Oakland,94612,(510) 238-9171,,taymade@gmail.com kristi.holohan@gmail.com,www.rpscollective.org,Nonprofit,,,,,,,
Street Styles / Rock Paper Scissors Collective,,,,,,,,,2278 Telegraph Ave. suite 100,Oakland,94612,(510) 238-9171,taymade@gmail.com kristi.holohan@gmail.com,Nonprofit,Art & Design
Supreme Interiors,2800 E 8th St.,Oakland,94601,(510) 536-3021,,,www.supremeinteriors.com,Small Business,,,,,,,
Supreme Interiors,,,,,,,,,2800 E 8th St.,Oakland,94601,(510) 536-3021,,Small Business,Art & Design
Taco Grill,3340 E 12th St. #11,Oakland,94601,(510) 534-3752,,,taco-grill.blogspot.com,Small Business,,,,,,,
Taco Grill,,,,,,,,,3340 E 12th St. #11,Oakland,94601,(510) 534-3752,,Small Business,Food Services
The Moon - Homemade Boutique,447 25th St.,Oakland,94612,(510) 922-8373,,themoonoakland@gmail.com,,Small Business,,,,,,,
The Moon - Homemade Boutique,,,,,,,,,447 25th St.,Oakland,94612,(510) 922-8373,themoonoakland@gmail.com,Small Business,Fashion & Design
Umbrella T-Shirts,154 27th St.,San Francisco,94110,(415) 608-6149,,reuben@umbrellatshirts.com,www.umbrellashirts.com/,Small Business,,,,,,,
Umbrella T-Shirts,,,,,,,,,154 27th St.,San Francisco,94110,(415) 608-6149,reuben@umbrellatshirts.com,Small Business,Fashion & Design
United Negro College Fund,220 Montgomery St.,San Francisco,94104,(415) 956-1018,,celeste.stanley@uncf.org,www.uncf.org,Non Profit,,,,,,,
United Negro College Fund,,,,,,,,,220 Montgomery St.,San Francisco,94104,(415) 956-1018,celeste.stanley@uncf.org,Non Profit,Education
University Pet Hospital,810 University Ave.,Berkeley,94710,(510) 982-0766,,,www.uvhberkeley.com,Big Business,,,,,,,
University Pet Hospital,,,,,,,,,810 University Ave.,Berkeley,94710,(510) 982-0766,,Big Business,Animals
